ottoneu_player_id,player_name,positions,team_id,team_name,salary,roster_pct,average_salary,pro_team,fantasy_points,fantasy_points_avg,games_played,minutes,minutes_avg,points,points_avg,rebounds,rebounds_avg,assists,assists_avg,steals,steals_avg,blocks,blocks_avg,field_goal_attempts,field_goal_attempts_avg,field_goals_made,field_goals_made_avg,free_throw_attempts,free_throw_attempts_avg,free_throws_made,free_throws_made_avg,three_point_attempts,three_point_attempts_avg,three_points_made,three_points_made_avg,turnovers,turnovers_avg,fg_pct,ft_pct,three_pt_pct
26157,Kasparas Jakucionis,G,236.0,Dangerous Nights Crew,2,82.4,2.57,MIA,0,0.0,1,6,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
44,Duncan Robinson,F,246.0,Trust the Process,1,64.7,1.09,DET,12,12.0,1,21,21.0,9,9.0,2,2.0,2,2.0,0,0.0,0,0.0,7,7.0,3,3.0,2,2.0,2,2.0,5,5.0,1,1.0,1,1.0,0.4286,1.0,0.2
309,Luka Garza,C,216.0,Tingus Pingus,1,29.4,1.6,BOS,30,30.0,1,26,26.0,11,11.0,3,3.0,2,2.0,2,2.0,0,0.0,6,6.0,5,5.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0.8333,0.0,1.0
346,Isaiah Stewart,F/C,247.0,3-point Layup,1,100.0,3.82,DET,28,28.0,1,31,31.0,6,6.0,4,4.0,2,2.0,0,0.0,5,5.0,5,5.0,2,2.0,2,2.0,1,1.0,3,3.0,1,1.0,2,2.0,0.4,0.5,0.3333
20167,Max Christie,G,221.0,Walter O'dim,1,100.0,3.53,DAL,20,20.0,1,30,30.0,18,18.0,1,1.0,2,2.0,0,0.0,0,0.0,13,13.0,7,7.0,2,2.0,2,2.0,7,7.0,2,2.0,2,2.0,0.5385,1.0,0.2857
20388,Walter Clayton Jr.,G,246.0,Trust the Process,1,88.2,2.2,UTA,19,19.0,1,31,31.0,9,9.0,2,2.0,3,3.0,1,1.0,0,0.0,6,6.0,2,2.0,4,4.0,4,4.0,3,3.0,1,1.0,0,0.0,0.3333,1.0,0.3333
22981,Dominick Barlow,F,250.0,Hunsucker Commando,1,11.8,1.0,PHI,9,9.0,1,19,19.0,5,5.0,1,1.0,0,0.0,1,1.0,0,0.0,3,3.0,1,1.0,2,2.0,2,2.0,2,2.0,1,1.0,0,0.0,0.3333,1.0,0.5
30,Drew Eubanks,F/C,,FA,0,11.8,1.0,SAC,5,5.0,1,8,8.0,4,4.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1.0,0.0,0.0
46,Josh Okogie,G,,FA,0,5.9,1.0,HOU,9,9.0,1,21,21.0,5,5.0,5,5.0,2,2.0,0,0.0,0,0.0,5,5.0,2,2.0,0,0.0,0,0.0,2,2.0,1,1.0,2,2.0,0.4,0.0,0.5
49,Jae'Sean Tate,F,,FA,0,0.0,0.0,HOU,10,10.0,1,11,11.0,4,4.0,4,4.0,1,1.0,0,0.0,0,0.0,4,4.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.5,0.0,0.0
