bref_id,PLAYER_ID,stats_player_id,espn_id,PLAYER_NAME,Team,team_g,stats_team_id
jonesca03,1630637,953242,4067735,Carlik Jones,DAL,33,6
anthoca01,2546,172890,1975,Carmelo Anthony,LAL,35,13
stanlca01,1630199,1174861,4431686,Cassius Stanley,DET,32,8
winstca01,1630216,957478,4066382,Cassius Winston,WAS,34,27
barbeca01,1627760,740397,3059266,Cat Barber,ATL,33,NA
osmande01,1626224,842611,3893016,Cedi Osman,CLE,34,5
hutchch01,1628990,846866,3149010,Chandler Hutchison,PHO,33,21
bassech01,1629646,1138669,4397886,Charles Bassey,PHI,34,20
brownch02,1629718,950955,4066508,Charlie Brown Jr.,DAL,33,6
brownch05,1630602,1060954,4278045,Chaundee Brown Jr.,LAL/ATL,33,1
diallch01,1627767,887902,3919335,Cheick Diallo,DET,32,8
metuch01,1629002,884121,3914283,Chimezie Metu,SAC,35,23
bouchch01,1628449,901190,3948153,Chris Boucher,TOR,31,28
chiozch01,1629185,845512,3137795,Chris Chiozza,GSW,34,9
duartch01,1630537,1194085,4592402,Chris Duarte,IND,34,11
paulch01,101108,229598,2779,Chris Paul,PHO,33,21
silvach01,1629735,886457,3923253,Chris Silva,MIN,34,16
woodch01,1626174,750924,3058254,Christian Wood,HOU,35,10
okekech01,1629643,1061658,4278052,Chuma Okeke,ORL,35,19
capelca01,203991,830647,3102529,Clint Capela,ATL,33,1
whiteco01,1629632,1138387,4395651,Coby White,CHI,31,4
martico01,1628998,842971,3138161,Cody Martin,CHO,35,5312
zelleco01,203469,602028,2579258,Cody Zeller,POR,33,22
anthoco01,1630175,1185943,4432809,Cole Anthony,ORL,35,19
sextoco01,1629012,1061642,4277811,Collin Sexton,CLE,34,5
kispeco01,1630557,1077554,4280151,Corey Kispert,WAS,34,27
josepco01,202709,552805,6446,Cory Joseph,DET,32,8
swordcr01,1628591,696951,2991312,Craig Sword,WAS,34,27
russeda01,1626156,844038,3136776,D'Angelo Russell,MIN,34,16
augusdj01,201571,329524,3415,D.J. Augustin,HOU,35,10
wilsodj01,1628391,843997,3136491,D.J. Wilson,TOR,31,28
nixda01,1630227,1271709,4432176,Daishen Nix,HOU,35,10
bantoda01,1630625,1138668,4397885,Dalano Banton,TOR,31,28
jonesda03,1627745,745922,3064559,Damian Jones,SAC,35,23
lillada01,203081,463121,6606,Damian Lillard,POR,33,22
leeda03,1627814,609081,2595209,Damion Lee,GSW,34,9
dotsoda01,1628422,697146,2991149,Damyean Dotson,NYK,34,18
gaffoda01,1629655,1061647,4278049,Daniel Gafford,WAS,34,27
oturuda01,1630187,1133827,4397215,Daniel Oturu,TOR,31,28
theisda01,1628464,1066725,2451037,Daniel Theis,HOU,35,10
gallida01,201568,456448,3428,Danilo Gallinari,ATL,33,1
greenda02,201980,295922,3988,Danny Green,PHI,34,20
houseda01,1627863,692110,2991155,Danuel House Jr.,HOU/NYK,34,18
bazleda01,1629647,1172134,4423545,Darius Bazley,OKC,33,25
garlada01,1629636,1134262,4396907,Darius Garland,CLE,34,5
collida01,201954,295432,3973,Darren Collison,LAL,35,13
dukeda01,1630561,1134645,4397107,David Duke Jr.,BRK,32,17
johnsda08,1630525,1180115,4592204,David Johnson,TOR,31,28
nwabada01,1628021,787141,3062744,David Nwaba,HOU,35,10
mitchda01,1630558,1061659,4278053,Davion Mitchell,SAC,35,23
bertada01,202722,599814,6426,Davis Bertans,WAS,34,27
reedda01,1628432,740382,3059262,Davon Reed,DEN,33,7
sharpda01,1630549,1243725,4432194,Day'Ron Sharpe,BRK,32,17
foxde01,1628368,957489,4066259,De'Aaron Fox,SAC,35,23
huntede01,1629631,942857,4065732,De'Andre Hunter,ATL,33,1
meltode01,1629001,946801,4066436,De'Anthony Melton,MEM,35,29
jordade01,201599,398142,3442,DeAndre Jordan,LAL,35,13
bembrde01,1627761,795428,3062667,DeAndre' Bembry,BRK,32,17
jarrede01,1630610,950903,4066796,DeJon Jarreau,IND,34,10
derozde01,201942,457594,3978,DeMar DeRozan,CHI,31,4
couside01,202326,509450,4258,DeMarcus Cousins,MIL,36,15
wadede01,1629731,880677,3912848,Dean Wade,CLE,34,5
aytonde01,1629028,1061507,4278129,Deandre Ayton,PHO,33,21
sirvyde01,1629686,1172138,4423883,Deividas Sirvydis,DET,32,8
murrade01,1627749,884168,3907497,Dejounte Murray,SAS,33,24
