stats_player_id,nba_player_id
842971,1628998
1177050,1630191
509456,202322
1067857,1629023
399612,201565
520388,203488
1061682,1629651
1057004,1628392
944263,1630217
266554,200746
842297,1626145
602028,203469
949131,1628374
1061638,1630529
840567,1626195
469089,202694
842296,1628960
401085,201569
329683,201152
843742,1629026
513234,202355
830641,203967
552980,203087
601518,203920
1067852,1629020
1185943,1630175
554804,203926
843005,1629661
843794,1628975
411562,201988
601514,1626192
1060908,1629018
512995,202692
462458,202334
1194085,1630537
614746,203083
456456,201609
1061658,1629643
552805,202709
1323508,1630578
792338,1626166
884169,1629680
1138653,1630180
1186160,1630178
1138387,1629632
880677,1629731
846639,1629139
502808,202324
561589,1628470
846407,1627780
842298,1626159
1132031,1629628
398037,201949
1065906,1629630
942857,1629631
1071928,1628964
886404,1629056
1134262,1629636
787141,1628021
944785,1628989
803207,203648
944969,1629676
553158,203476
750703,1626171
879492,1629003
1241585,1630591
884087,1628988
756880,203953
1067689,1630240
1076238,1630194
604290,1630264
941460,1629006
604288,1626196
1134693,1629652
845512,1629185
1140887,1629637
253975,2730
330057,201959
552335,203493
879503,1627736
551787,204456
887661,1628379
606932,1630698
395365,203200
1132824,1629659
599814,202722
1061642,1629012
679381,1627777
1076192,1629052
172890,2546
606642,203473
624174,1629750
739958,203471
945610,1630202
266367,201145
741892,1628404
946878,1630201
950065,1628396
609081,1627814
883573,1629234
1061526,1630593
740339,1628425
892925,1627884
884121,1629002
616982,203458
1232182,1630595
882387,1629021
920092,1627788
229602,200782
1177013,1630183
460833,203210
329873,202397
1060919,1630631
398142,201599
1067668,1629638
1076209,1628963
1193670,1630182
893100,1629013
692110,1627863
1132051,1630170
879504,1629611
844476,1628398
946824,1628365
699093,1627854
1257431,1630231
263903,202066
330050,201577
698664,1627774
1056995,1628373
1257421,1630165
920099,1627822
844465,1629162
712593,203914
552806,202684
1175084,1630540
970444,1628977
745922,1627745
553574,202683
795428,1627761
949273,1629684
606731,1626163
953941,1629671
1135158,1629645
953377,1630288
845596,1626168
1060704,1630230
1174904,1630172
1076674,1628981
605708,203504
955890,1629681
950903,1630610
1323503,1630581
1134732,1629663
842969,1628997
1082704,1628972
945123,1630647
509169,203524
1138668,1630625
1257422,1630166
262882,200765
402376,202954
886448,1628408
1193432,1630171
329670,201961
1077554,1630557
469085,202693
1067672,1630587
1078671,1629633
1134174,1629640
333212,201580
1137200,1629675
1133812,1630565
1271706,1630224
1185367,1630168
1134886,1630215
1133864,1630613
843265,1629004
895835,1630203
608661,203901
893009,1629620
945673,1630605
953063,1629667
957492,1628370
712595,1627756
1175124,1630173
1178199,1630538
1132829,1629653
292401,101150
1060962,1630585
843805,1629103
1257428,1630249
1134190,1630218
843271,1626162
1076189,1629670
1245906,1630527
550991,203503
1231792,1630553
1251663,1630550
1060982,1630612
1176176,1630526
922397,1630238
1251661,1630536
922387,1629717
398424,202734
948123,1630219
1172132,1629048
1186771,1630539
603106,203918
1231214,1630563
895530,1629685
1245934,1630543
329524,201571
1318915,1630586
1121307,1629014
1182632,1630547
851186,1629833
1172133,1629677
1138669,1629646
1077553,1630555
942015,1628372
899762,1629719
1271708,1630228
1271713,1630225
1175260,1630551
850308,1629111
1231305,1630528
1257425,1630195
1243740,1630535
950179,1630205
1232020,1630560
1152470,1630271
920082,1627823
891351,1628539
506103,203585
1137126,1630554
942866,1629660
953283,1628993
936502,1629622
1231665,1630531
957478,1630216
846866,1628990
942843,1630643
513607,202340
879498,1629605
601139,203085
1230356,1630552
1172136,1629712
953291,1630559
1071933,1630579
937667,1628402
851253,1629216
1257423,1630197
955893,1629060
1133782,1630245
1076274,1630167
1076297,1630691
696209,1627752
1132827,1629656
1138654,1629641
1177024,1630583
1060928,1629022
1175356,1630544
941267,1630235
944164,1628367
1134005,1630184
1132027,1629629
1134010,1630198
1231366,1630541
1323544,1630686
953106,1630241
1067853,1630208
1172134,1629647
944728,1629076
1061659,1630558
1061057,1630568
923135,1630466
888431,1629726
741012,1629744
953887,1630233
1134264,1630174
1182151,1630186
1138391,1629642
750825,1628778
792415,1628400
944169,1628962
844045,1628966
550049,203082
1089562,1629669
1174858,1630176
1134176,1629639
794506,1627782
950031,1630190
1243725,1630549
1061544,1629644
842611,1626224
1057007,1628427
944822,1629599
1134570,1630530
1133792,1630188
1257427,1630177
942129,1630209
226806,2617
1175120,1630164
604898,203463
1135177,1629604
1133788,1630598
1193676,1630192
1132030,1630200
1142902,1629674
1231313,1630533
1172131,1629635
1060351,1630572
920091,1627789
1257432,1630206
846627,1629672
1134730,1629626
1133802,1629649
1175355,1630575
610597,1627846
1141061,1630580
922379,1630210
1180115,1630525
1257426,1630181
1067854,1628995
1135006,1630556
,1626155
